NT	OT
2Co 6:16	Jer 24:7
2Co 6:16	Jer 31:33
2Co 6:16	Jer 32:38
2Co 6:16	Lev 26:11,12
2Co 6:16	Lev 26:12
2Co 6:16	Zec 13:9
2Co 6:16	Zec 2:10
2Co 6:16	Zec 8:8
2Co 6:17	Isa 52:11
2Co 6:17,18	Isa 52:11,12
2Co 6:18	Hos 1:10
2Co 6:2	Isa 49:8
2Co 8:15	Exo 16:18
2Co 9:10	Ecc 11:6
2Co 9:6	Ecc 11:6
2Co 9:6	Mal 3:10
2Co 9:6	Pro 11:24
2Co 9:8	Mal 3:10
2Co 9:8	Pro 10:22
2Co 9:9	Psa 112:9
2Pe 1:19	Psa 119:105
2Pe 3:5	Gen 1:1
2Pe 3:8	Psa 90:4
2Pe 3:9	Hab 2:3
2Pe 3:9	Isa 30:18
2Pe 3:9	Psa 86:15
2Th 2:16	Isa 45:17
2Th 2:9	Isa 44:18
2Th 3:16	Psa 29:11
2Th 3:5	Psa 119:5
2Ti 1:7	Mic 3:8
2Ti 1:7	Pro 2:7
2Ti 1:7	Pro 8:14
2Ti 1:7	Psa 119:80
2Ti 1:7	Psa 34:4
2Ti 1:7	Zec 4:6
2Ti 2:1	1Sa 23:16
2Ti 2:1	Deu 31:6
2Ti 2:19	Nah 1:7
2Ti 2:19	Num 16:5
2Ti 2:22	Psa 119:9
2Ti 3:1	Isa 5:20
2Ti 3:15	Pro 22:6
2Ti 3:16	2Sa 23:2
2Ti 3:16	Pro 6:23
2Ti 3:16	Psa 119:11
2Ti 3:16	Psa 119:130
2Ti 3:16	Psa 119:9
2Ti 3:16	Psa 119:97
2Ti 3:16	Psa 19:7
2Ti 3:5	Isa 29:13
2Ti 4:18	Psa 121:7
2Ti 4:18	Psa 23:6
2Ti 4:2	Ecc 11:6
Act 10:38	Isa 61:1
Act 10:45	Isa 44:3
Act 11:20	Ecc 11:6
Act 13:22	Psa 89:20
Act 13:33	Psa 2:7
Act 13:34	Isa 55:3
Act 13:35	Psa 16:10
Act 13:41	Hab 1:5
Act 13:47	Isa 49:6
Act 14:15	Gen 1:1
Act 15:16	Amo 9:11
