NT	OT
2Pet.1.19	Ps.119.105
2Pet.3.5	Gen.1.1
2Pet.3.8	Ps.90.4
2Pet.3.9	Hab.2.3
2Pet.3.9	Isa.30.18
2Pet.3.9	Ps.86.15
2Thess.2.16	Isa.45.17
2Thess.2.9	Isa.44.18
2Thess.3.16	Ps.29.11
2Thess.3.5	Ps.119.5
2Tim.1.7	Mic.3.8
2Tim.1.7	Prov.2.7
2Tim.1.7	Prov.8.14
2Tim.1.7	Ps.119.80
2Tim.1.7	Ps.34.4
2Tim.1.7	Zech.4.6
2Tim.2.1	1Sam.23.16
2Tim.2.1	Deut.31.6
2Tim.2.19	Nah.1.7
2Tim.2.19	Num.16.5
2Tim.2.22	Ps.119.9
2Tim.3.1	Isa.5.20
2Tim.3.15	Prov.22.6
2Tim.3.16	2Sam.23.2
2Tim.3.16	Prov.6.23
2Tim.3.16	Ps.119.11
2Tim.3.16	Ps.119.130
2Tim.3.16	Ps.119.9
2Tim.3.16	Ps.119.97
2Tim.3.16	Ps.19.7
2Tim.3.5	Isa.29.13
2Tim.4.18	Ps.121.7
2Tim.4.18	Ps.23.6
2Tim.4.2	Eccl.11.6
Acts.1.16	Ps.41.9
Acts.1.16	Ps.55.12
Acts.1.20	Ps.109.8
Acts.1.20	Ps.69.25
Acts.1.7	Deut.29.29
Acts.10.38	Isa.61.1
Acts.10.45	Isa.44.3
Acts.11.20	Eccl.11.6
Acts.13.33	Ps.2.7
Acts.13.41	Hab.1.5
Acts.13.47	Isa.49.6
Acts.14.15	Gen.1.1
Acts.15.16	Amos.9.11
Acts.15.9	Ps.51.10
Acts.17.24	1Kgs.8.27
Acts.17.24	Gen.1.1
Acts.17.28	Job.12.10
Acts.2.16	Joel.2.28
Acts.2.17	Isa.44.3
Acts.2.17	Joel.2.28
Acts.2.2	Joel.2.28
Acts.2.21	Jer.33.3
Acts.2.21	Zech.13.9
Acts.2.25	Ps.16.8
Acts.2.27	Ps.16.10
Acts.2.28	Ps.16.11
Acts.2.33	Isa.44.3
Acts.2.39	Isa.44.3
Acts.2.39	Joel.2.28
Acts.20.35	Prov.19.17
Acts.26.18	Isa.61.1
